HostOrder,HostSpecies
Artiodactyla,Ammotragus lervia
Artiodactyla,Blastocerus dichotomus
Artiodactyla,Capra pyrenaica
Artiodactyla,Capreolus capreolus
Artiodactyla,Cervus elaphus
Artiodactyla,Dama dama
Artiodactyla,Dicotyles tajacu
Artiodactyla,Mazama americana
Artiodactyla,Mazama gouazoubira
Artiodactyla,Ovis ammon
Artiodactyla,Ozotoceros bezoarticus
Artiodactyla,Rupicapra pyrenaica
Artiodactyla,Sus scrofa
Artiodactyla,Tayassu pecari
Carnivora,Canis lupus
Carnivora,Cerdocyon thous
Carnivora,Chrysocyon brachyurus
Carnivora,Eira barbara
Carnivora,Felis silvestris
Carnivora,Galictis cuja
Carnivora,Galictis vittata
Carnivora,Genetta genetta
Carnivora,Herpailurus yagouaroundi
Carnivora,Herpestes ichneumon
Carnivora,Leopardus geoffroyi
Carnivora,Leopardus pardalis
Carnivora,Leopardus tigrinus
Carnivora,Leopardus wiedii
Carnivora,Lontra longicaudis
Carnivora,Lutra lutra
Carnivora,Lycalopex gymnocercus
Carnivora,Lycalopex vetulus
Carnivora,Lynx pardinus
Carnivora,Lynx rufus
Carnivora,Martes foina
Carnivora,Martes martes
Carnivora,Meles meles
Carnivora,Mustela erminea
Carnivora,Mustela lutreola
Carnivora,Mustela nivalis
Carnivora,Mustela putorius
Carnivora,Mustela vison
Carnivora,Nasua nasua
Carnivora,Neovison vison
Carnivora,Panthera onca
Carnivora,Potos flavus
Carnivora,Procyon cancrivorus
Carnivora,Puma concolor
Carnivora,Puma yagouaroundi
Carnivora,Speothos venaticus
Carnivora,Ursus arctos
Carnivora,Vulpes vulpes
Cetartiodactyla ,Pecari tajacu
Chiroptera,Anoura caudifer
Chiroptera,Anoura geoffroyi
Chiroptera,Artibeus cinereus
Chiroptera,Artibeus concolor
Chiroptera,Artibeus fimbriatus
Chiroptera,Artibeus gnomus
Chiroptera,Artibeus lituratus
Chiroptera,Artibeus obscurus
Chiroptera,Artibeus planirostris
Chiroptera,Carollia benkeithi
Chiroptera,Carollia brevicauda
Chiroptera,Carollia perspicillata
Chiroptera,Chiroderma villosum
Chiroptera,Chrotopterus auritus
Chiroptera,Cynomops abrasus
Chiroptera,Cynomops planirostris
